id,session,category,office,name,url
1340553,2013,ASSEMBLY DISTRICTS,ASSEMBLY 47,"BROWN, CHERYL",/Campaign/Candidates/Detail.aspx?session=2013&id=1340553
1276119,2013,ASSEMBLY DISTRICTS,ASSEMBLY 48,"HERNANDEZ, ROGER",/Campaign/Candidates/Detail.aspx?session=2013&id=1276119
1281706,2013,ASSEMBLY DISTRICTS,ASSEMBLY 49,"CHAU, ED",/Campaign/Candidates/Detail.aspx?session=2013&id=1281706
1330273,2013,ASSEMBLY DISTRICTS,ASSEMBLY 50,"BLOOM, RICHARD",/Campaign/Candidates/Detail.aspx?session=2013&id=1330273
1334135,2013,ASSEMBLY DISTRICTS,ASSEMBLY 51,"GOMEZ, JIMMY",/Campaign/Candidates/Detail.aspx?session=2013&id=1334135
1354976,2013,ASSEMBLY DISTRICTS,ASSEMBLY 52,"RODRIGUEZ, FREDDIE",/Campaign/Candidates/Detail.aspx?session=2013&id=1354976
1304250,2013,ASSEMBLY DISTRICTS,ASSEMBLY 53,"PEREZ, JOHN A.",/Campaign/Candidates/Detail.aspx?session=2013&id=1304250
1358246,2013,ASSEMBLY DISTRICTS,ASSEMBLY 54,"RIDLEY-THOMAS, SEBASTIAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1358246
1297723,2013,ASSEMBLY DISTRICTS,ASSEMBLY 55,"HAGMAN, CURT",/Campaign/Candidates/Detail.aspx?session=2013&id=1297723
1304928,2013,ASSEMBLY DISTRICTS,ASSEMBLY 56,"PEREZ, V. MANUEL",/Campaign/Candidates/Detail.aspx?session=2013&id=1304928
1336511,2013,ASSEMBLY DISTRICTS,ASSEMBLY 57,"CALDERON, IAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1336511
1343926,2013,ASSEMBLY DISTRICTS,ASSEMBLY 58,"GARCIA, CRISTINA",/Campaign/Candidates/Detail.aspx?session=2013&id=1343926
1317870,2013,ASSEMBLY DISTRICTS,ASSEMBLY 59,"JONES-SAWYER SR., REGINALD BYRON",/Campaign/Candidates/Detail.aspx?session=2013&id=1317870
